StationID,Latitude,Longitude,BikesAvailable,DocksAvailable,Total_Docks,Station_Occupancy
6c176d42-fea5-4df1-80eb-66a99cc73a21,37.34759257443888,-121.89966201782228,14,5,19,73.7
4a6b5ab4-b2d8-4657-b93f-a71bc7007283,37.85578332030199,-122.28312671184538,19,0,19,100.0
adda58ee-59a9-4586-8210-da874168a93b,37.3184498,-121.8831724,3,11,14,21.4
b6d76c7a-2082-430b-8403-da5db00becaf,37.3426625921454,-121.87729239463806,10,13,23,43.5
885754e6-88c9-46ed-9376-f1b035a71b54,37.800459411713945,-122.24745869636536,0,23,23,0.0
b09fd293-4364-4ce6-9341-0ced58486c5a,37.31515792998312,-121.89783275127412,5,9,14,35.7
6064907e-3871-4b2c-829b-d01406cee6fb,37.79013985185364,-122.24237322807312,12,3,15,80.0
59a78eb1-a501-4145-b21f-bc2397898905,37.3398531,-121.8636494,10,5,15,66.7
2e4f2c49-1201-4d77-ba41-9917293f1eeb,37.723426,-122.455102,6,10,16,37.5
f503bee7-b169-43c4-a1ef-5b3ddd859a7a,37.72828159245282,-122.4506950378418,3,24,27,11.1
68c89d1f-407a-4550-a2b7-ecf0ad7ee422,37.3233446905968,-121.91349685192108,14,5,19,73.7
a96032c0-9ff2-4fbe-8f03-6b3f9816947d,37.33802231313689,-121.91947817802428,11,12,23,47.8
cfda2dee-2f6c-400d-a1a7-ba1b2bdc6aee,37.364060462258806,-121.9117319583893,5,10,15,33.300000000000004
9477b039-8d61-4917-b03a-43efb7d55c90,37.73890064447666,-122.38952457904814,16,2,18,88.9
c0bc3212-1e26-438b-9ebd-ea1d1c8e92ef,37.72694296622841,-122.40659952163696,3,19,22,13.6
6b38a901-f4ae-4aef-b958-3b6efe69e9d6,37.8505777,-122.2781754,9,5,14,64.3
a845426e-b1fe-4dab-b7a5-b6e581f4d7dc,37.8107432,-122.2914153,4,11,15,26.700000000000003
e0c59a44-7e14-43bd-99e2-a294b3fc0951,37.8072393,-122.2893702,10,9,19,52.6
1771130117010765886,37.8063553,-122.2860187,0,23,23,0.0
c53990d7-f965-40f4-b305-3435e1c95a71,37.34575879530316,-121.87067806720736,10,9,19,52.6
1af8f901-8697-4128-b6c8-45c7c7f2c684,37.8123315,-122.2851712,2,13,15,13.3
2dfbc387-8432-4ac3-9526-fc79b5046eb8,37.722601,-122.3922705,6,12,18,33.300000000000004
eb283c26-5d6b-4da4-a2ac-f0bfe3329856,37.32412595115088,-121.89971968531609,10,13,23,43.5
ea511b7f-eae4-4ee8-9bba-ee7445e5133a,37.338468014146,-121.86652064323424,4,11,15,26.700000000000003
e5b1f228-5347-47fc-a079-c1df0e8668f1,37.32345133870681,-121.90597593784332,13,14,27,48.1
3c12fd1d-c7fc-4570-8fa3-1449c096b818,37.37111641335901,-121.88133180141448,13,6,19,68.4
1a7a0757-fbbb-497e-b92b-cb0817cab274,37.74207523594424,-122.38660231232642,6,12,18,33.300000000000004
270425db-c369-4d4b-b8de-fae86c896a3c,37.8051895,-122.29461686454056,9,14,23,39.1
d09b983e-bbce-4501-9e3c-7dc0fe605ff3,37.7316566899845,-122.45112150907516,4,6,10,40.0
6994e1e6-bb3c-4309-8207-52e6004a7302,37.3655356585599,-121.86796635389328,14,9,23,60.9
41b2200f-7915-410b-95c6-084bc4d3dee8,37.73065542923656,-122.4443047517252,7,12,19,36.8
93d95ded-d49e-43bc-b7fe-6ce556569088,37.36508806048156,-121.87161205351002,12,13,25,48.0
0c9f99fe-9f18-4489-bf50-c744a7288819,37.799676,-122.452599,13,10,23,56.49999999999999
6c4a9d85-6ef7-43fc-82a5-172d1a045539,37.740048,-122.3834355,15,0,15,100.0
14750571-71a2-4c2f-8a6a-8f344866eebe,37.32096853145443,-121.9082960486412,4,23,27,14.8
46f36a3a-f550-4fe0-bfe8-b94fddaf95d8,37.321181834267314,-121.9030898809433,8,15,23,34.8
2c00d99d-7518-4ecd-ab53-63e7a34034f6,37.31673647849343,-121.91000461578368,17,10,27,63.0
ea2a009b-6a83-4b81-ba35-c175c492f4f4,37.31975695999228,-121.89299941062929,6,13,19,31.6
702e67bf-a75e-4352-8b20-425a19c1845c,37.775211,-122.511208,26,0,26,100.0
874736bb-35c8-48e8-a4d7-e8e811d418da,37.772954,-122.509071,22,0,22,100.0
748ac5c0-bb8c-4a55-9c56-6c91b2e859e1,37.7965927,-122.4556884,1,17,18,5.6000000000000005
59cb1eda-68ac-43fd-a05a-9250d7f9ace3,37.80175010159663,-122.4563633604339,3,17,20,15.0
7d59176c-49dd-4b07-a5ab-bcc109974db3,37.3600013909666,-121.87877833843233,7,12,19,36.8
35e3bf9b-4c65-4f2b-9d46-32afe9fe82d9,37.803968,-122.455079,1,15,16,6.2
c0d7ba8d-145a-40fc-aa06-f4c06fc49edb,37.740321776391326,-122.3767840862274,9,17,26,34.599999999999994
